[6a7c30940000000022033b96|美食展示|ctr1=0.0416|imp=11063] [标题]你错过了它｜就错过了一整个Guyon | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a637884000000001303c0a6|美食测评|ctr1=0.0176|imp=850] [标题]65年老藤干红，女士爱疯了！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a918cbe000000002a03f4ac|美食测评|ctr1=0.0290|imp=896] [标题]赫斯皮特 沙兹堡逐串精选雷司令甜白 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a54c15d000000001700a04d|美食测评|ctr1=0.0216|imp=834] [标题]好喝到一口上天！！不愧最难买的南非膜拜酒…… | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a840494000000002500cf36|美食测评|ctr1=0.0363|imp=910] [标题]格鲁吉亚女生们最喜欢的甜红酒来国内了 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a5edeeb00000000110190b5|美食测评|ctr1=0.0294|imp=510] [标题]混迹奶圈这么久可曾听闻这款鲜牛乳？ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a33c3cb000000001003d1b6|美食测评|ctr1=0.0376|imp=611] [标题]太神奇了🍇乌龙茶味的葡萄汁💖女王家宴同款 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[674c0a9a000000000202f5f1|美食测评|ctr1=0.0221|imp=589] [标题]顶流名家出品❗️超精品勃艮第口粮好喝不贵～ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a28dc24000000003502f740|美食测评|ctr1=0.0163|imp=614] [标题]茶香浓郁🍴米其林同款乌龙康普茶太绝了‼️ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a3a6eea000000000f01ca91|美食测评|ctr1=0.0321|imp=872] [标题]300内没有对手！我私藏的米其林同款口粮 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a7189340000000025000a58|美食展示|ctr1=0.0467|imp=514] [标题]北有十四代，南便是锅岛，入门款必喝山田锦 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a0ed082000000003701ea0f|美食展示|ctr1=0.0437|imp=687] [标题]1989年普洱古树茶龙骨茶 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68a408af000000001d037101|美食展示|ctr1=0.0448|imp=893] [标题]于荣光  请大家喝好酒啦！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a68691d0000000022018160|美食展示|ctr1=0.0412|imp=801] [标题]精修澳洲谷饲牛肋排 软烂脱骨带奶香 | [封面美学]中 | [封面清晰度]低 | [封面质量]低
[6a71c4450000000025006046|美食展示|ctr1=0.0428|imp=912] [标题]来自圣爱村夯中夯的爱情专属酒 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a4cda38000000002003a77b|美食展示|ctr1=0.0401|imp=773] [标题]藤茶不是越白越好，真正关键是采摘等级‼️ | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a225de000000000360311e6|美食展示|ctr1=0.0282|imp=709] [标题]私房手作的一款鸭舌，宁波风味 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68c52a6e000000001c009b52|美食展示|ctr1=0.0420|imp=619] [标题]究竟什么样的人才会需要去喝它呢？ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[698df37e000000000d0093f6|美食展示|ctr1=0.0407|imp=958] [标题]90年代勐海茶厂出口熟普迷你沱 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6983350d0000000021031264|美食展示|ctr1=0.0258|imp=503] [标题]今年打算送老婆这个！她好我也好 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a8ab556000000002a02cc53|养生食疗|ctr1=0.0199|imp=1108] [标题]人参九黑——中式咖啡 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a9439a80000000025025c11|养生食疗|ctr1=0.0451|imp=1617] [标题]南坦新皮，物美价优，你想要的它都有 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5851ee00000000100297e9|养生食疗|ctr1=0.0554|imp=4098] [标题]高性价比贵妇胶｜42头大岛印白母 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a82c26a000000002800340c|养生食疗|ctr1=0.0522|imp=4810] [标题]✨平替印尼白花｜正南巴白公73头小规格 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a375dad000000001503e237|养生食疗|ctr1=0.0496|imp=2921] [标题]卖了快9000单！没啥技巧全靠品质在撑! | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68919df40000000003030263|养生食疗|ctr1=0.0408|imp=1666] [标题]三伏天身材管理第一步！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6780fb090000000001000788|养生食疗|ctr1=0.0305|imp=1313] [标题]雨季头期大燕条 | 自己吃的性价比之选 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69fbebf2000000002202457c|养生食疗|ctr1=0.0301|imp=2790] [标题]不做花哨营销，只做自己放心喝的苹果水 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a89a751000000002802b6ad|养生食疗|ctr1=0.0265|imp=2377] [标题]绝了‼️1+1＞2的养颜神仙吃法㊙️维持长期漂亮 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69605ff4000000000a03d772|养生食疗|ctr1=0.0228|imp=1708] [标题]九制怀地黄，真的没那么简单 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a6a13f100000000090341f7|养生食疗|ctr1=0.0462|imp=1170] [标题]独一无二的金松酸❗️安全健康的食用油❗️ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69fd19e2000000003700cae7|养生食疗|ctr1=0.0437|imp=1076] [标题]大基数减脂别硬饿！这款养生茶太懂了 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a7afc9400000000250086f3|养生食疗|ctr1=0.0475|imp=1095] [标题]明明才💰300+送未来婆婆以为1K多中秋礼物🎁 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a420eb7000000001c026a88|保健品|ctr1=0.0080|imp=879] [标题]产后👩🏻每天2粒红宝石🔥拿捏香蕉便 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a4dcd690000000011017b15|保健品|ctr1=0.0304|imp=723] [标题]玫瑰k老小金粒🌸获奖啦!!43岁养出贵气感 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a34bb68000000000f016cad|保健品|ctr1=0.0144|imp=627] [标题]打工人久坐自救‼️每日实现噗噗自由㊙️ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a7a0a1b0000000028031b26|保健品|ctr1=0.0293|imp=5529] [标题]玫瑰小金粒✅坚持每天两粒‼️从头到脚惊喜变化 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a4cada1000000000f0074a3|保健品|ctr1=0.0218|imp=1787] [标题]晒后更重要的是内调，九白饮早晚各1条 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a854cc60000000006006e7c|保健品|ctr1=0.0222|imp=1577] [标题]坚持每天2粒🌸温和科学❗排🈳废物 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
